书名,作者,出版社,出版日期,书价,评论热度
追风筝的人,[美]卡勒德·胡赛尼, 上海人民出版社,2006.0,29.0,463365.0
解忧杂货店,[日]东野圭吾, 南海出版公司,2014.0,39.5,452303.0
小王子,[法]圣埃克苏佩里, 人民文学出版社,2003.0,22.0,385691.0
白夜行,[日]东野圭吾, 南海出版公司,2008.0,29.8,334814.0
围城,钱锺书, 人民文学出版社,1991.0,19.0,276547.0
嫌疑人X的献身,[日]东野圭吾, 南海出版公司,2008.0,28.0,275868.0
三体,刘慈欣, 重庆出版社,2008.0,23.0,275471.0
挪威的森林,[日]村上春树, 上海译文出版社,2001.0,18.8,256981.0
活着,余华, 作家出版社,2012.0,20.0,252481.0
百年孤独,[哥伦比亚]加西亚·马尔克斯, 南海出版公司,2011.0,39.5,204146.0
看见,柴静, 广西师范大学出版社,2013.0,39.8,198278.0
红楼梦,[清]曹雪芹著, 人民文学出版社,1996.0,59.7,193984.0
不能承受的生命之轻,[捷克]米兰·昆德拉, 上海译文出版社,2003.0,23.0,172284.0
达·芬奇密码,[美]丹·布朗, 上海人民出版社,2004.0,28.0,171175.0
平凡的世界（全三部）,路遥, 人民文学出版社,2005.0,64.0,170031.0
天才在左 疯子在右,高铭, 武汉大学出版社,2010.0,29.8,163496.0
三体Ⅱ,刘慈欣, 重庆出版社,2008.0,32.0,162992.0
三体Ⅲ,刘慈欣, 重庆出版社,2010.0,38.0,161026.0
我们仨,杨绛, 生活·读书·新知三联书店,2003.0,18.8,155987.0
简爱（英文全本）,[英]夏洛蒂·勃朗特, 世界图书出版公司,2003.0,18.0,145143.0
明朝那些事儿（壹）,当年明月, 中国友谊出版公司,2006.0,24.8,134567.0
目送,龙应台, 生活·读书·新知三联书店,2009.0,39.0,134158.0
傲慢与偏见,[英]奥斯丁, 人民文学出版社,1993.0,13.0,132804.0
1988：我想和这个世界谈谈,韩寒, 国际文化出版公司,2011.0,25.0,132009.0
恶意,[日]东野圭吾, 南海出版公司,2009.0,18.0,131158.0
哈利·波特与魔法石,[英]J.K.罗琳, 人民文学出版社,2000.0,19.5,130477.0
何以笙箫默,顾漫, 朝华出版社,2010.0,15.0,129108.0
撒哈拉的故事,三毛, 皇冠出版社,1976.0,36.5,123785.0
许三观卖血记,余华, 南海出版公司,1998.0,16.8,122007.0
边城,沈从文, 北岳文艺出版社,2002.0,12.0,121559.0
霍乱时期的爱情,[哥伦比亚]加西亚·马尔克斯, 南海出版公司,2012.0,39.5,120011.0
狼图腾,姜戎, 长江文艺出版社,2004.0,32.0,115070.0
人间失格,太宰治, 吉林出版集团有限责任公司,2009.0,16.0,114757.0
情人,[法]玛格丽特·杜拉斯, 上海译文出版社,2005.0,20.0,113666.0
飘,[美国]玛格丽特·米切尔, 译林出版社,2000.0,40.0,113508.0
盗墓笔记,南派三叔, 中国友谊出版公司,2007.0,26.8,112003.0
穆斯林的葬礼,霍达, 北京十月文艺出版社,1988.0,32.0,110663.0
送你一颗子弹,刘瑜, 上海三联书店,2010.0,25.0,110412.0
哈利·波特与阿兹卡班的囚徒,[英]J.K.罗琳, 人民文学出版社,2000.0,26.5,104332.0
三重门,韩寒, 作家出版社,2008.0,16.0,103572.0
岛上书店,[美]加·泽文, 江苏凤凰文艺出版社,2015.0,35.0,102697.0
窗边的小豆豆,[日]黑柳彻子著, 南海出版公司,2003.0,20.0,101618.0
万历十五年,[美]黄仁宇, 生活·读书·新知三联书店,1997.0,18.0,101518.0
老人与海,海明威, 上海译文出版社,1999.0,8.2,101213.0
放学后,[日]东野圭吾, 南海出版公司,2010.0,20.0,100800.0
哈利·波特与密室,[英]J.K.罗琳, 人民文学出版社,2000.0,22.0,100453.0
哈利·波特与火焰杯,[英]J.K.罗琳, 人民文学出版社,2001.0,39.8,100286.0
月亮和六便士,[英]毛姆, 上海译文出版社,2006.0,15.0,98186.0
1Q84 BOOK 1,[日]村上春树, 南海出版公司,2010.0,36.0,97821.0
幻城,郭敬明, 春风文艺出版社,2003.0,28.0,97509.0
从你的全世界路过,张嘉佳, 湖南文艺出版社,2013.0,36.0,94741.0
悲伤逆流成河,郭敬明, 长江文艺出版社,2001.0,24.0,94180.0
鲁滨逊漂流记,[英]笛福, 广西民族出版社,2002.0,9.2,93243.0
黄金时代,王小波, 花城出版社,1999.0,19.0,92165.0
悟空传,今何在, 光明日报出版社,2001.0,14.8,90666.0
向左走·向右走,幾米, 生活·读书·新知三联书店,2002.0,16.0,89247.0
1984,[英]乔治·奥威尔, 北京十月文艺出版社,2010.0,28.0,89156.0
哈利·波特与混血王子,[英]J.K.罗琳, 人民文学出版社,2005.0,58.0,87895.0
牧羊少年奇幻之旅,[巴西]保罗·柯艾略, 南海出版公司,2009.0,25.0,87590.0
微微一笑很倾城,顾漫, 江苏文艺出版社,2007.0,25.0,87403.0
致我们终将逝去的青春,辛夷坞, 朝华出版社,2017.0,25.0,86603.0
苏菲的世界,[挪威]乔斯坦·贾德, 作家出版社,1999.0,26.8,86500.0
莲花,安妮宝贝, 作家出版社,2000.0,25.0,85567.0
无声告白,[美]伍绮诗, 江苏凤凰文艺出版社,2015.0,35.0,85275.0
房思琪的初恋乐园,林奕含, 北京联合出版公司,2018.0,45.0,85247.0
哈利·波特与凤凰社,[英]J.K.罗琳, 人民文学出版社,2003.0,59.0,84344.0
三国演义（全二册）,[明]罗贯中, 人民文学出版社,1998.0,39.5,83287.0
骆驼祥子,老舍, 人民文学出版社,2000.0,12.0,82874.0
独唱团（第一辑）,韩寒主编, 书海出版社,2015.0,16.0,82312.0
呼啸山庄,[英]勃朗特, 人民文学出版社,1999.0,27.3,80907.0
茶花女,小仲马, 外国文学出版社,1997.0,9.0,79625.0
长安乱,韩寒, 中国青年出版社,2014.0,20.0,79023.0
哈利·波特与死亡圣器,[英]J.K.罗琳, 人民文学出版社,2007.0,66.0,78981.0
亲爱的安德烈,龙应台, 人民文学出版社,2008.0,26.0,78743.0
一个人的好天气,[日]青山七惠, 上海译文出版社,2007.0,15.0,78652.0
